"Website","ReversalID","OrderID","CreationDate","Quantity","Currency","ReversalStatus","ReversalAmountState","ReversalReason","DirectDebitRefundAmount"
"Amazon.com","BQeQQ5cSRjCqF5FL965vhQ","108-4664810-8773859","2016-03-16T01:06:59Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","Z90SChMSQy+9Z2ns/zImpQ","107-7296104-3961850","2016-02-10T01:59:41Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","4qCZ6ARnRk+MPorVrul6RQ","108-2426794-6372203","2015-10-30T06:40:43Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","bgUqhokYTTORDaogX2nFig","108-1081822-5857835","2015-10-30T06:06:17Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","ua6Kg43URciabnn74QzYhw","108-6903996-1226609","2015-10-06T02:07:25Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","ugzi0CW2SYSLrOwOneyv1w","109-9470796-4503403","2015-04-11T20:07:01Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","CL2UoOs2SiOPY806FKaZjQ","108-1317599-3840250","2015-04-11T20:06:56Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","YzICxJdpREqYn/F0xwWC9w","114-3197493-3380225","2015-04-11T18:36:17Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","WdA2H8hhQHeyfxI1QN3e9w","103-5614227-2129816","2015-01-30T16:29:36Z","1","USD","Completed","Final","Item not satisfactory","0"
"Amazon.com","zq0odeJGR+SHWvYr40p4Nw","103-7308670-4236225","2014-12-04T18:45:25Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","Prj+SN+8TKigteM2fTmGrQ","103-7308670-4236225","2014-12-04T18:45:24Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","BL7Yhe+wR4u3uFBa1gOBXA","108-5551418-3190603","2014-04-29T01:10:41Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","swZF2S6uQoeIys4eooNHrg","112-6278872-9521000","2013-12-06T08:57:47Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","TDewhQF0SYyqlQjniD2W3Q","103-9004305-8703402","2013-05-28T14:41:57Z","5","USD","Completed","Final","Customer return","0"
"Amazon.com","TDewhQF0SYyqlQjniD2W3Q","103-9004305-8703402","2013-05-28T14:41:57Z","5","USD","Completed","Final","Customer return","0"
"Amazon.com","TDewhQF0SYyqlQjniD2W3Q","103-9004305-8703402","2013-05-28T14:41:57Z","5","USD","Completed","Final","Customer return","0"
