DigitalOrderItemId,DeliveryPacketId,AffectedItemQuantity,TransactionAmount,BaseCurrencyCode,ClaimCode,FXTransactionAmount,FXCurrencyCode,MonetaryComponentTypeCode,OfferTypeCode
93QFDBE39HKQGD0GE1Q4GU6IMAUOLK7OBNFCH4CRKR6R460EFM7G,GF4GP79DK6VJMTPF56OL6QOEI5N05RVO8QOO3GKLFAPP9TRDRJV0,1,59.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
93QFDBE39HKQGD0GE1Q4GU6IMAUOLK7OBNFCH4CRKR6R460EFM7G,GF4GP79DK6VJMTPF56OL6QOEI5N05RVO8QOO3GKLFAPP9TRDRJV0,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
4UMRGUSE5DM7IIOLCUQ5MSQTVSU32M67HB4Q7HFOOPKBFG7SAAJ0,DE6CU1EILLHVCBALRHTBHQO6BEQ7SKF3N7HT5H7J092EF1LK30E0,1,2.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
4UMRGUSE5DM7IIOLCUQ5MSQTVSU32M67HB4Q7HFOOPKBFG7SAAJ0,DE6CU1EILLHVCBALRHTBHQO6BEQ7SKF3N7HT5H7J092EF1LK30E0,1,0.31,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
J2SNPST5ILG6OT84576VJE7PQKQTNGA63581GN5T4T8OB3JL4HU0,849T6TKBUN6FINA3MQDC1VAQHP5LJ8GTOIAEAJG2DS8KHF5NQDP0,1,0.37,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
J2SNPST5ILG6OT84576VJE7PQKQTNGA63581GN5T4T8OB3JL4HU0,849T6TKBUN6FINA3MQDC1VAQHP5LJ8GTOIAEAJG2DS8KHF5NQDP0,1,3.59,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
UTRMO23KQNIA8FR3QJJ89LF2UGRFCS30EJTJJ13O1601R0HHCO3G,38PBSEV611H7CJD7DLB54UJF6BCL5BDURJ06D3NMR3PDJUJ0US20,1,0.31,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
UTRMO23KQNIA8FR3QJJ89LF2UGRFCS30EJTJJ13O1601R0HHCO3G,38PBSEV611H7CJD7DLB54UJF6BCL5BDURJ06D3NMR3PDJUJ0US20,1,2.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
7LLHSOL47UMI92TV0B01OTO8E124VSUM3HFEA281TSLQCV939F1G,CG6BCP7ULIGC46RRJ0M31OFICTT1MN1KTFNP8VO8K175FK92EVQG,1,0.31,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
7LLHSOL47UMI92TV0B01OTO8E124VSUM3HFEA281TSLQCV939F1G,CG6BCP7ULIGC46RRJ0M31OFICTT1MN1KTFNP8VO8K175FK92EVQG,1,2.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
