ASIN,ProductName,OrderId,DigitalOrderItemId,DeclaredCountryCode,BaseCurrencyCode,FulfilledDate,IsFulfilled,Marketplace,OrderDate,OriginalQuantity,OurPrice,OurPriceCurrencyCode,OurPriceTax,OurPriceTaxCurrencyCode,SellerOfRecord,Publisher,ThirdPartyDisplayPrice,ThirdPartyDisplayCurrencyCode,ListPriceAmount,ListPriceCurrencyCode,ListPriceTaxAmount,ListPriceTaxCurrencyCode,GiftItem,OrderingCustomerNickname,GiftCustomerNickname,GiftMessage,GiftEmail,RecipientEmail,GiftRedemption,ItemMergedFromAnotherOrder,QuantityOrdered,ItemFulfilled,ShipFrom,ShipTo,IsOrderEligibleForPrimeBenefit,OfferingSKU,FulfillmentMobileNumber,RechargeAmount,RechargeAmountCurrencyCode,SubscriptionOrderInfoList,PreviouslyPaidDigitalOrderItemId,PreviouslyPaidOrderId,InstallmentOurPrice,InstallmentOurPricePlusTax,DigitalOrderItemAttributes,InstallmentOurPriceCurrencyCode,InstallmentOurPricePlusTaxCurrencyCode
B0CK4Q85RW,"Ad free for Prime Video",D01-5217206-6054652,P4SLS8CBF4E12NC6N2LQAIA2PD8DV7B6QR47TCOOBU9Q4OHBAF90,US,USD,2025-03-03T04:38:00Z,Yes,www.amazon.com,2025-03-03T04:38:00Z,1,2.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,2.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"subscriptionId:59KX2PJPN62K3H3XQBG0",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B0CY14F37W,"Kingdom of the Planet of the Apes",D01-2123492-6089857,DR4L9QHJ1M7R3ACJL6EJKO527J9O3KE4U2BKVQ05V5GJRQS2AQ30,US,USD,2025-02-15T03:10:00Z,Yes,www.amazon.com,2025-02-15T03:10:00Z,1,3.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,3.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B0CK4Q85RW,"Ad free for Prime Video",D01-7436429-9977842,KP9EJQMI171SIILDDP2KJJ0MBA4O4GGAQ58D1IT9G654OEOCSN60,US,USD,2025-02-03T04:51:00Z,Yes,www.amazon.com,2025-02-03T04:51:00Z,1,2.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,2.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"subscriptionId:59KX2PJPN62K3H3XQBG0",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B073XBG38V,"Prime Membership Fee",D01-9756696-2483422,QT8D2DDBUPR5NFEP3GJJBU8BJG5HMAMH8KRT8J9MUU69NPU7VP0G,US,USD,2025-01-16T19:20:00Z,Yes,www.amazon.com,2025-01-16T19:20:00Z,1,139.0,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,139.0,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"subscriptionId:1Q10XHAZ0NAFR13CHNNQ",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B08GWTJJPN,"War for the Planet of the Apes",D01-8416735-0797067,S5HB717R3UN92UGKJCV16Q8UR8CDRIAL75NCTT06GU37KE63IM50,US,USD,2025-01-05T06:12:00Z,Yes,www.amazon.com,2025-01-05T06:12:00Z,1,3.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,3.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B08GSMLNL1,"Dawn of the Planet of the Apes",D01-5740593-2829034,BIBS1PCP4RFLJ375B0GSE8I5R88254833QS5PLPGAUA727B9HE80,US,USD,2025-01-03T06:35:00Z,Yes,www.amazon.com,2025-01-03T06:35:00Z,1,4.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,4.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B0CK4Q85RW,"Ad free for Prime Video",D01-0001343-4157015,626FA91877T3AR5T7IV0F3IS36A3NG52B3H7ITKMBMJ8HCCAVN10,US,USD,2025-01-03T05:05:00Z,Yes,www.amazon.com,2025-01-03T05:05:00Z,1,2.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,2.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"subscriptionId:59KX2PJPN62K3H3XQBG0",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B0B6RT1QHW,"Planet Of The Apes (1968)",D01-4622874-3843431,4B5LVR2VV2G0HH0OQ5RLQ34QUQBJTU93T7OF9CKPJ34J225FPJM0,US,USD,2025-01-02T03:50:00Z,Yes,www.amazon.com,2025-01-02T03:50:00Z,1,4.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,4.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B0CK4Q85RW,"Ad free for Prime Video",D01-5641124-1782659,VUSQIBD32D65P9SNTJ16JB7VTVBL8JDUJ9VB27MAOHJ26AHK5R50,US,USD,2024-12-03T05:29:00Z,Yes,www.amazon.com,2024-12-03T05:29:00Z,1,2.99,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,2.99,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"subscriptionId:59KX2PJPN62K3H3XQBG0",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B007JRU4N0,"The Descendants",D01-7264803-3021064,AEU10VJDRG6C94VGSI1JGB31IPB1TQBM94IQFN32KP40ES0EIERG,US,USD,2024-11-29T05:00:00Z,Yes,www.amazon.com,2024-11-29T05:00:00Z,1,3.59,USD,Not Applicable,Not Applicable,"Amazon.com Services, Inc",Not Applicable,Not Applicable,Not Applicable,3.59,USD,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,Yes,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
